ID,area,p_agricole_tot,p_arable,p_grassland,p_forest,p_urban,p_other_land_uses,p_sedimentay,p_igneous,IDPR,annual_specific_runoff,p_waterbody,p_wetland_mediumConf,p_wetland_highConf,p_wetland_veryHighConf,p_not_wetland,bioGeoRegion
5042080,157.2776262,82.62422761,2.076255191,40.5924778,15.10401144,2.271760943,9.77e-15,0,100,1075.335443,493.4177215,0.139877925,5.531536114,4.205874873,3.406345371,86.71636572,continental
3096400,157.3658699,80.32829206,53.06011406,25.78121277,17.36738844,1.77728883,0.527030677,25.74918429,74.25081571,1021.834395,409.7032258,0.533765429,6.719725492,5.186738471,9.993804508,77.5659661,continental
3075000,157.5790344,40.34736324,30.86765452,7.622715446,51.21009963,8.425085671,0.017451453,0,100,958.345679,135.2547771,0.207824349,8.887267189,6.910556208,5.481168893,78.51318336,atlantic
3265000,157.6321946,94.6057499,16.96502559,67.22096006,1.816718409,3.577531689,1.02e-14,100,0,1304.766871,547.3459119,0.0047576,9.892636821,10.0607387,6.024707804,74.01715908,atlantic
4116960,157.7199544,87.58347899,50.17815456,36.7363035,9.715864278,2.700656734,0,29.33193809,70.66806191,988.7654321,185.8709677,0.047560918,4.775116128,5.00657926,3.015362176,87.15538152,atlantic
4060800,157.7977962,88.46563655,9.561004979,69.15349972,10.18248219,0.917362148,0.434519118,0,100,1246.687898,180.79375,0.475315292,1.92344255,3.705874897,2.779010077,91.11635718,continental
5119080,157.9858826,82.43257142,27.59883854,3.889455903,16.26118535,1.306243225,1.55e-15,99.90455389,0.095446111,1094.120253,226.55,0.129771476,9.17895803,6.108754827,3.554472368,81.0280433,atlantic
2060700,158.0183919,63.62999854,30.87353985,26.40358546,31.43406422,4.76030364,0.175633606,0,100,1168.213836,283.9119497,0.243670886,12.11550633,13.92879747,10.75949367,62.95253165,continental
4060700,158.0341862,94.71979691,6.425769511,67.78455285,4.125937174,1.15426592,7.55e-15,0,100,1118.243421,208.3006135,0.230957842,1.969469272,3.560863719,2.670252314,91.56845685,continental
4160160,158.1083253,93.12939986,71.92548352,7.119225585,0.259297762,6.611302378,8.88e-16,0.728953197,99.2710468,599.5,397.6625,0.014230824,10.25251807,14.27035403,14.63086824,60.83202884,atlantic
4126800,158.2533762,84.83155164,20.21419855,61.21165929,10.41769508,4.439565126,0.311188162,93.47456719,6.525432807,1177.106918,257,0.57342348,11.50954126,13.38146089,17.20270441,57.33286996,atlantic
6710100,158.5335472,1.527500128,0,0.81224839,87.43577915,0.067424502,10.96929622,29.01051908,70.98948092,1447.898734,616.7987421,0,1.21270422,1.269475809,0.515675267,97.0021447,mediterranean
4046545,158.5358547,85.77613229,62.58186363,21.63802179,12.9814725,0.895817808,0.3465774,0,100,1056.024845,196.31875,0.561390229,12.20392973,12.13927524,15.09130476,60.00410004,atlantic
1074000,158.6455809,83.4708888,79.09603407,2.385389049,8.602370813,7.926740389,0,100,0,1139.272152,165.3726708,0,20.72622969,19.20537107,31.00029944,29.06809979,atlantic
3112805,158.7779287,79.74903764,68.6076627,9.464618873,19.06188253,1.189079831,7.99e-15,0,100,912.4242424,249.6815287,0.031491104,7.664934656,5.791213982,4.575657377,81.93670288,atlantic
4105680,158.9759363,90.8718864,71.96581331,16.37234243,7.808765253,1.319348346,8.44e-15,100,0,949.6078431,178.1886792,0.246820418,11.69488594,9.179518622,7.395179927,71.48359509,atlantic
5169050,159.2667154,9.270798182,0,6.065041161,87.72277461,1.366272454,1.640154755,37.51422162,62.48577838,1181.798742,672.3949045,0.04708024,1.947552612,1.504998352,1.064013434,95.43635536,mediterranean
5216135,159.3884942,15.89185586,2.112692624,12.51107713,75.25898914,1.293181194,7.555973807,11.41741685,88.58258315,1340.867925,920.1242236,0,4.113561899,3.188637539,1.076988195,91.62081237,atlantic
1117000,159.5860887,76.31674793,74.53132037,0.587440522,4.532299438,18.39119622,0.759756408,0,100,425.221519,309.95,0.128444103,6.071333469,5.380554816,6.304725803,82.11494181,atlantic
6189500,159.7705829,27.40797828,1.355533039,0.089977662,43.38957589,29.20244583,0,13.86070937,86.13929063,1152.1625,478.656051,0.06571433,9.727285529,3.528233693,2.908641434,83.77012501,mediterranean
4038800,159.7758134,33.36397562,0.407998811,30.20208263,61.36920176,5.266822616,3.55e-15,0,100,1255.859756,468.6835443,0.064157734,1.563257961,3.110867694,1.463109303,93.79860731,continental
1023000,160.0775116,87.51781301,79.10890045,7.608937544,0.557132427,11.76341979,0.161634776,0,100,692.7839506,266.7875,0,12.82099344,8.745704467,7.155576382,71.27772571,atlantic
5234280,160.2526255,57.16018376,11.56705068,18.27991795,27.84827898,14.75013455,0.24140271,81.79872314,18.20127686,1201.94375,434.152439,0,17.04912407,15.98989127,6.648674789,60.31230988,atlantic
4052520,160.3796564,50.26224321,17.79824808,2.133015368,46.79969762,1.256273575,1.681785592,28.87526385,71.12473615,1424.392405,140.4876543,4.283910393,20.29245327,18.4747533,15.96645206,40.98243098,atlantic
4015325,160.4753598,72.17797373,2.589608073,49.13166924,23.3072516,4.51477467,6.22e-15,0,100,1163.1375,258.7044025,0.070096733,11.51611446,8.109413212,4.811751328,75.49262427,continental
4067319,160.4960294,91.06390272,20.37361627,53.29484992,6.313149018,2.263821699,0.359126567,26.07598223,73.92401777,974.1761006,186.3522013,0.260108404,6.929474799,4.845492493,3.736527319,84.22839698,atlantic
4201170,160.5782971,78.05671672,38.3725275,21.59921534,12.82392596,8.142033115,0.97732421,92.13916083,7.860839169,1206.236025,221.6,1.297002725,10.805761,11.60918645,8.80653951,67.48151032,atlantic
