"CDSTATIONM","LBSTATIONM","COORDXSTAT","COORDYSTAT","CODEDEPART","LBDEPARTEM","lat","lon","elevation"
3038385,"L'ARMAN ON A VERGIGNY 1",753549.84,6765195.25,89,"YONNE",47.9849548068729,3.71782883248715,95.49
3038700,"LE CRCANTON A SAINT-FLORENTIN 1",750346,6767368,89,"YONNE",48.0047612252497,3.67513293915991,101.89
3039000,"L'ARMANeON A CHENY 1",739696,6761869,89,"YONNE",47.9560084254211,3.53182615598591,81.88
3039390,"LA BRENNE A POUILLENAY 1",810775,6713131,21,"COTE-D'OR",47.5092530232007,4.47178498024542,246.33
3040250,"L'OZE A DARCEY 1",815834,6716049,21,"COTE-D'OR",47.5346462950562,4.53973938239534,264.42
3041000,"LA BRENNE A SAINT-REMY 1",797293,6727389,21,"COTE-D'OR",47.6397000842089,4.295802407355,201.02
3041165,"L'ARMANCE A LES LOGES-MARGUERON 1",782255,6776050,10,"AUBE",48.0796487545985,4.10461187684868,135.07
3041247,"LE RUISSEAU DE TRoMAGNE A LA LOGE-POMBLIN 1",775944,6773380,10,"AUBE",48.0563881456619,4.01940766974567,127.01
3041600,"L'ARMANCE A CHESSY-LES-PRES 1",766734,6767934,10,"AUBE",48.0083882547146,3.89496328008634,110.06
3042820,"LE THOLON A CHAMPVALLON 1",726508,6759831,89,"YONNE",47.9383344013241,3.35502047393818,89.29
3043450,"L'ANCRE A ESTISSAC 1",760996,6794704,10,"AUBE",48.2498209720652,3.82175334331737,138.45
3044000,"LA VANNE A PAISY-COSDON 1",752427,6793828,10,"AUBE",48.2426853773966,3.70621074850523,119.19
3044170,"LA NOSLE A AIX-EN-OTHE 1",755240,6790419,10,"AUBE",48.2117809898229,3.74366823024245,134.61
3044580,"LA VANNE A MOLINONS 1",739829,6792561,89,"YONNE",48.2321775563163,3.53640122036871,100.79
3045000,"LA VANNE A MALAY-LE-GRAND 1",725353,6786033,89,"YONNE",48.1741638748673,3.34106755692236,80
3046200,"LE RU DE LA VALLEE JAVOT A FONTAINE-LE-PORT 1",683848,6817546,77,"SEINE-ET-MARNE",48.4579830661848,2.78153749737752,56.92
3046388,"LA SEINE A FONTAINE-LE-PORT 1",681681.34,6820641.12,77,"SEINE-ET-MARNE",48.4857694398832,2.75210127716441,43.01
3047445,"L' COLE A ONCY-SUR-ECOLE 1",661461,6809760,91,"ESSONNE",48.3869948159662,2.47944449826655,68.19
3047627,"LE RU DE REBAIS A PERTHES 1",664609,6819739,77,"SEINE-ET-MARNE",48.4769472304255,2.52114680986756,49.67
3047680,"L'ECOLE A PRINGY 1",667011,6824416,77,"SEINE-ET-MARNE",48.519147114304,2.5532880345612,47.85
3048000,"LA SEINE A SAINT-FARGEAU-PONTHIERRY 1",666622,6826460,77,"SEINE-ET-MARNE",48.5375141401747,2.54786212287963,40.7
3048290,"LE RU DE BALORY A SAVIGNY-LE-TEMPLE 1",667897,6829346,77,"SEINE-ET-MARNE",48.5635393357373,2.56491749320174,68.69
3050000,"LE RUISSEAU DES HAULDRES A ETIOLLES 1",660634,6837088,91,"ESSONNE",48.6327779365596,2.46577705289279,37.26
3051500,"LE RU D'ANCOEUIL A MOISENAY 1",680887,6828771,77,"SEINE-ET-MARNE",48.5588805513428,2.74099100794326,65.69
3051590,"L'ALMONT A MELUN 1",675896,6827531,77,"SEINE-ET-MARNE",48.547559687316,2.673425876108,48.84
3051840,"LE LOING A SAINT-PRIVE 1",700114,6731636,89,"YONNE",47.6851123559779,3.00151954045895,167.89
3052134,"LE LOING A MONTBOUY 1",686666,6751181,45,"LOIRET",47.860888119905,2.82167905054608,110.96
3052215,"L'AVEYRON A MONTBOUY 1",687787,6752829,45,"LOIRET",47.8757416349387,2.83662499020604,112.6
3052245,"LE LOING A CONFLANS-SUR-LOING 1",684036,6760831,45,"LOIRET",47.9476755761683,2.78615766426833,91.75
3052338,"LE PUISEAUX A NOGENT-SUR-VERNISSON 1",678555,6751035,45,"LOIRET",47.8593591571377,2.7132152474038,110.69
3052656,"L'HUILLARD A CHEVILLON-SUR-HUILLARD 1",670644,6762553,45,"LOIRET",47.9627089974958,2.60665538888179,89.86
3053000,"LE LOING A CHALETTE-SUR-LOING 2",679995,6770547,45,"LOIRET",48.0349999178821,2.73158528185973,78.26
3053310,"LA CLARY A SAINT-LOUP-DE-GONOIS 1",693650,6773129,45,"LOIRET",48.0585100486575,2.91476193485761,112.25
3053750,"LE BETZ A BRANSLES 1",686695,6782334,77,"SEINE-ET-MARNE",48.14123670559,2.82112308951476,88.3
3054000,"LE LOING A SOUPPES-SUR-LOING 1",679808,6786998,77,"SEINE-ET-MARNE",48.1830271101578,2.728316798973,65.38
3055000,"LE LOING A MORET-SUR-LOING 1",687085,6807384,77,"SEINE-ET-MARNE",48.3666330882707,2.82562263298816,52.07
3056010,"L'OUANNE A TOUCY 2",720111,6738920,89,"YONNE",47.7503650919543,3.2683945781595,181.23
3056087,"L'OUANNE A SAINT-MARTIN-SUR-OUANNE 1",707912,6748670,89,"YONNE",47.8383771120442,3.10576549818644,149
3056320,"L'AGRdAU A MALICORNE 1",706840,6745228,89,"YONNE",47.8074109433129,3.09138205428345,156.54
3056410,"LE RU DE PtRUSEAU A PERREUX 1",708703,6751885,89,"YONNE",47.867301787056,3.11640271483026,153.86
3057000,"L'OUANNE A GY-LES-NONAINS 2",688537,6760880,45,"LOIRET",47.9482107786544,2.84644838552196,101.09
